ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
68,Anil Kumar,SHIKARPUR,BJP,2,14 Crore+,75 Lac+,UTTAR PRADESH,12th Pass
69,Suresh Gurjar,KHANPUR,INC,2,5 Crore+,44 Lac+,RAJASTHAN,Graduate
70,Adv. K.M. Sachindev,BALUSSERI,CPI(M),7,2 Crore+,0,KERALA,Graduate Professional
71,Indrashah Mandavi,MOHLA-MANPUR (ST),INC,0,4 Crore+,60 Thou+,CHHATTISGARH,Post Graduate
72,Bhagchand Tankda,BANDIKUI,BJP,0,5 Crore+,1 Crore+,RAJASTHAN,Graduate
73,Daulat Bhika Daroda,SHAHAPUR (ST),NCP,1,3 Crore+,10 Lac+,MAHARASHTRA,Graduate
74,Jambey Tashi,LUMLA,BJP,0,40 Crore+,3 Crore+,ARUNACHAL PRADESH,Graduate
75,Ningaraddi Hanamaraddi Konaraddi,NAVALGUND,INC,0,6 Crore+,21 Lac+,KARNATAKA,Graduate
76,Moorthy P,MADURAI EAST,DMK,3,11 Crore+,3 Crore+,TAMIL NADU,12th Pass
77,Mathiventhan M,RASIPURAM(SC),DMK,0,5 Crore+,2 Crore+,TAMIL NADU,Graduate Professional
78,Sandhyarani Tudu,MANBAZAR (ST),AITC,0,21 Lac+,0,WEST BENGAL,10th Pass
79,Suren Phukan,DIGBOI,BJP,0,0,55 Lac+,ASSAM,10th Pass
80,Srikanta Sahu,POLASARA,BJD,1,82 Lac+,17 Lac+,ODISHA,10th Pass
81,Kunvarjibhai Mohanbhai Bavaliya,JASDAN,BJP,0,2 Crore+,0,GUJARAT,Graduate Professional
82,Devendra Patel,SILWANI,INC,0,6 Crore+,1 Crore+,MADHYA PRADESH,12th Pass
83,Birendra Singh Rana,SIKANDRA RAO,BJP,0,11 Crore+,26 Lac+,UTTAR PRADESH,12th Pass
84,Raju. K,MADURAI WEST,AIADMK,1,6 Crore+,1 Crore+,TAMIL NADU,Graduate
85,Kailas Balasaheb Ghadge Patil,OSMANABAD,SHS,0,79 Lac+,21 Lac+,MAHARASHTRA,12th Pass
86,Dhanorkar Pratibha Suresh,WARORA,INC,0,13 Crore+,2 Crore+,MAHARASHTRA,12th Pass
87,Seenivasan A.R.R,VIRUDHUNAGAR,DMK,3,96 Lac+,2 Lac+,TAMIL NADU,12th Pass
88,Bhuban Pegu,JONAI (ST),BJP,0,3 Crore+,73 Lac+,ASSAM,Post Graduate
89,Venugopal Rao Maddisetty,DARSI,YSRCP,0,159 Crore+,17 Crore+,ANDHRA PRADESH,Post Graduate
90,Dhani Ram Shandil,SOLAN (SC),INC,1,4 Crore+,49 Lac+,HIMACHAL PRADESH,Doctorate
91,Antara Sarkar Deb,KAMALASAGAR,BJP,0,73 Thou+,0,TRIPURA,10th Pass
92,Harmit Singh Pathanmajra,SANOUR,AAP,0,2 Crore+,4 Lac+,PUNJAB,12th Pass
93,Rahul Subhashrao Kul,DAUND,BJP,7,4 Crore+,91 Lac+,MAHARASHTRA,Graduate Professional
94,Pramila Tokas,R K PURAM,AAP,2,80 Crore+,11 Crore+,DELHI,12th Pass
95,Pratima Bhoumik,DHANPUR,BJP,0,78 Lac+,0,TRIPURA,Graduate
96,Ranjit Singh,RANIA,IND,0,27 Crore+,16 Lac+,HARYANA,Graduate
97,Padmini Dian,KOTPAD,BJD,0,94 Lac+,5 Lac+,ODISHA,12th Pass
98,Vaibhav Vijay Naik,KUDAL,SHS,1,20 Crore+,89 Lac+,MAHARASHTRA,Graduate
99,Rupak Sarmah,NOWGONG,BJP,0,8 Crore+,1 Crore+,ASSAM,Graduate
100,Chetan Singh Jouramajra,SAMANA,AAP,1,1 Crore+,37 Lac+,PUNJAB,12th Pass
101,Rajeshwar Singh,SAROJINI NAGAR,BJP,0,10 Crore+,0,UTTAR PRADESH,Doctorate
102,Bhuwan Chandra Kapri,KHATIMA,INC,0,49 Lac+,12 Lac+,UTTARAKHAND,Graduate Professional
103,Vinay Kulkarni,DHARWAD,INC,7,19 Crore+,1 Crore+,KARNATAKA,12th Pass
104,Bram Shanker (Jimpa),HOSHIARPUR,AAP,0,8 Crore+,1 Crore+,PUNJAB,12th Pass
105,Renu Bala,SADHAURA (SC),INC,0,2 Crore+,21 Lac+,HARYANA,12th Pass
106,Suresh Kumar Khanna,SHAHJAHANPUR,BJP,0,1 Crore+,60 Thou+,UTTAR PRADESH,Graduate Professional
107,Sekar S,PARAMATHIVELUR,AIADMK,0,2 Crore+,62 Lac+,TAMIL NADU,Graduate Professional
108,Nemcha Kipgen,KANGPOKPI,BJP,0,3 Crore+,5 Lac+,MANIPUR,Others
109,Dr. Jaswant Singh Yadav,BEHROR,BJP,0,11 Crore+,34 Lac+,RAJASTHAN,Graduate Professional
110,Arif Masood,BHOPAL MADHYA,INC,6,7 Crore+,53 Lac+,MADHYA PRADESH,Post Graduate
111,Nagaimaali V P,KILVELUR,CPI(M),0,19 Lac+,12 Lac+,TAMIL NADU,Graduate Professional
112,Satyanarayan Mukhopadhyay,CHHATNA,BJP,0,27 Lac+,4 Lac+,WEST BENGAL,Graduate Professional
113,K.P.Munusamy,VEPPANAHALLI,AIADMK,0,12 Crore+,42 Lac+,TAMIL NADU,Graduate Professional
114,Ajay Dharam Singh,JEVARGI,INC,1,65 Crore+,37 Crore+,KARNATAKA,Graduate Professional
115,Jagannath Naik,PATNA,BJD,0,1 Crore+,17 Lac+,ODISHA,Graduate
116,Ganeshram Singkhuntia,JASHIPUR,BJP,0,0,9 Lac+,ODISHA,Others
117,Chandrahas Chaupal,SINGHESHWAR (SC),RJD,2,0,0,BIHAR,12th Pass
118,Prabhat Kumar Verma,GAURA,BJP,0,1 Crore+,0,UTTAR PRADESH,Graduate Professional
119,Venkatroshaiah Kilari,PONNUR,YSRCP,0,81 Crore+,15 Crore+,ANDHRA PRADESH,Graduate
120,Selvaraj A K,METTUPALAYAM,AIADMK,0,0,0,TAMIL NADU,Graduate
121,Armaan Khan,LUCKNOW WEST,SP,0,14 Crore+,6 Crore+,UTTAR PRADESH,Graduate
122,Manjit Singh Bilaspur,NIHAL SINGH WALA (SC),AAP,4,6 Lac+,20 Lac+,PUNJAB,Graduate
123,Durai. Chandrasekar,PONNERI (SC),INC,1,66 Lac+,0,TAMIL NADU,Graduate Professional
124,Balachandra Laxmanrao Jarkiholi,ARABHAVI,BJP,0,35 Crore+,17 Lac+,KARNATAKA,10th Pass
125,Yamini Yashwant Jadhav,BYCULLA,SHS,0,9 Crore+,3 Crore+,MAHARASHTRA,Graduate
126,Shivanand Patil,BASAVANA BAGEVADI,INC,0,0,3 Crore+,KARNATAKA,Others
127,Bhagirathi Murulya,SULLIA (SC),BJP,0,28 Lac+,2 Lac+,KARNATAKA,10th Pass
128,Sanjay Saraogi,DARBHANGA,BJP,4,0,1 Crore+,BIHAR,Post Graduate
129,Tsering Tashi,TAWANG,BJP,0,109 Crore+,0,ARUNACHAL PRADESH,Graduate
130,Abdul Samad P,MANAPPARAI,DMK,1,10 Lac+,0,TAMIL NADU,10th Pass
131,Rajendra Kumar,DEVSAR (SC),BJP,0,1 Crore+,16 Lac+,MADHYA PRADESH,12th Pass
132,Pawan Kumar Singh,BHATPARA,BJP,12,4 Crore+,3 Lac+,WEST BENGAL,Graduate
133,R.Manickam,KULITHALAI,DMK,6,1 Crore+,70 Lac+,TAMIL NADU,12th Pass
134,Poorv Sainik Ramkumar Toppo,SITAPUR (ST),BJP,0,13 Lac+,17 Lac+,CHHATTISGARH,Graduate
135,Radhakrishnan,VRIDHACHALAM,INC,5,1 Crore+,61 Thou+,TAMIL NADU,10th Pass
136,Gadde Rama Mohan,VIJAYAWADA EAST,TDP,0,14 Crore+,3 Crore+,ANDHRA PRADESH,Post Graduate
137,Balo Raja,PALIN,BJP,0,10 Crore+,26 Lac+,ARUNACHAL PRADESH,Graduate
138,Abdur Rashid Mandal,GOALPARA WEST,INC,1,0,0,ASSAM,Others
139,Bulu Chik Baraik,MAL (ST),AITC,0,5 Lac+,0,WEST BENGAL,8th Pass
140,Bhaiya Lal Rajwade,BAIKUNTHPUR,BJP,0,2 Crore+,6 Lac+,CHHATTISGARH,10th Pass
141,Islam Uddin,KADAMTALA-KURTI,CPI(M),2,18 Lac+,22 Lac+,TRIPURA,Graduate
142,Smt. Sarla Vijendra Rawat,SABALAGADH,BJP,1,38 Lac+,4 Lac+,MADHYA PRADESH,10th Pass
143,Desai Rakesh Gunvantbhai,NAVSARI,BJP,0,1 Crore+,17 Lac+,GUJARAT,Others
144,Vijaybhai Rameshbhai Patel,DANGS (ST),BJP,0,1 Crore+,44 Lac+,GUJARAT,10th Pass
145,Suresh Rahi,HARGAON (SC),BJP,1,0,3 Lac+,UTTAR PRADESH,Post Graduate
146,Zhaleo Rio,GHASPANI-II (ST),NDPP,0,9 Crore+,0,NAGALAND,Graduate
147,Priyanka Penchi,CHACHOURA,BJP,0,64 Lac+,0,MADHYA PRADESH,Graduate Professional
148,Devendra Ramnarayan Sakhwar,AMBAH (SC),INC,0,39 Lac+,2 Lac+,MADHYA PRADESH,12th Pass
149,Kadam Yogeshdada Ramdas,DAPOLI,SHS,0,11 Crore+,4 Crore+,MAHARASHTRA,Graduate
150,Laxman Ram,MERTA (SC),BJP,0,43 Lac+,32 Lac+,RAJASTHAN,10th Pass
151,Prakash Prem Kumar,JOGINDERNAGAR,BJP,0,25 Crore+,0,HIMACHAL PRADESH,10th Pass
152,Hari Singh Sapre,KURWAI (SC),BJP,0,3 Crore+,50 Lac+,MADHYA PRADESH,Graduate
153,Ram Singh,PATTI,SP,6,4 Crore+,75 Lac+,UTTAR PRADESH,Post Graduate
154,A.R.Krishnamurthy,KOLLEGAL (SC),INC,0,0,48 Lac+,KARNATAKA,Graduate
155,Dadarao Yadaorao Keche,ARVI,BJP,0,1 Crore+,18 Lac+,MAHARASHTRA,Graduate
156,Bikram Keshari Arukha,BHANJANAGAR,BJD,0,3 Crore+,14 Lac+,ODISHA,Post Graduate
157,Adv. V. R. Sunilkumar,KODUNGALLUR,CPI,0,2 Crore+,1 Lac+,KERALA,Graduate Professional
158,Abhijit Roy,MAYURESWAR,AITC,0,91 Lac+,0,WEST BENGAL,Graduate
159,Mahinder Yadav,VIKASPURI,AAP,0,2 Crore+,6 Lac+,DELHI,10th Pass
160,Md Abdul Ghani,SUJAPUR,AITC,0,4 Crore+,0,WEST BENGAL,Post Graduate
161,Samir Ranjan Dash,NIMAPARA,BJD,2,2 Crore+,7 Lac+,ODISHA,Graduate Professional
162,Channabasappa (Chenni),SHIMOGA,BJP,1,1 Crore+,32 Lac+,KARNATAKA,8th Pass
163,Dhruba Charan Sahoo,RAJANAGAR,BJD,1,1 Crore+,75 Lac+,ODISHA,Post Graduate
164,Azad Minhajul Arfin,CHAKULIA,AITC,0,22 Lac+,12 Lac+,WEST BENGAL,Graduate
165,C.Krishnamurali,KADAYANALLUR,AIADMK,1,3 Crore+,2 Lac+,TAMIL NADU,Graduate
166,Bheem Raj Bhati,PALI,INC,0,0,0,RAJASTHAN,Graduate Professional
167,Subhash Meel,KHANDELA,BJP,2,12 Lac+,0,RAJASTHAN,Graduate Professional
168,Dhiraj Vilasrao Deshmukh,LATUR RURAL,INC,0,35 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
169,Abidur Rahman,ARARIA,INC,2,4 Crore+,8 Lac+,BIHAR,10th Pass
170,Jarkiholi Ramesh Laxmanrao,GOKAK,BJP,1,49 Crore+,43 Crore+,KARNATAKA,12th Pass
171,Akhil Giri,RAMNAGAR,AITC,1,70 Lac+,0,WEST BENGAL,12th Pass
172,Abhay Patil,BELGAUM DAKSHIN,BJP,3,9 Crore+,29 Lac+,KARNATAKA,10th Pass
173,Rana Chatterjee,BALLY,AITC,0,2 Crore+,1 Crore+,WEST BENGAL,Graduate Professional
174,Surendra Mehata,BACHHWARA,BJP,0,36 Lac+,3 Lac+,BIHAR,12th Pass
175,Kothur.G. Manjunatha,KOLAR,INC,1,30 Crore+,5 Crore+,KARNATAKA,10th Pass
176,Jai Prakash Yadav,NARPATGANJ,BJP,3,6 Crore+,31 Lac+,BIHAR,Graduate
177,Dilip Lahariya,MASTURI (SC),INC,0,0,50 Lac+,CHHATTISGARH,12th Pass
178,Pradeep Shukla,SAHAJANWA,BJP,0,9 Crore+,1 Lac+,UTTAR PRADESH,Graduate
179,Akhil Gogoi,SIBSAGAR,IND,52,0,30 Lac+,ASSAM,Graduate
180,Joseph Samuel,AMBATTUR,DMK,1,1 Crore+,2 Lac+,TAMIL NADU,Graduate
181,Ravi Rana,BADNERA,IND,7,0,7 Crore+,MAHARASHTRA,12th Pass
182,Kunga Nima Lepcha,GANGTOK,Sikkim Krantikari Morcha,0,62 Lac+,2 Lac+,SIKKIM,Graduate
183,Archana Pandey,CHHIBRAMAU,BJP,0,5 Crore+,9 Lac+,UTTAR PRADESH,Post Graduate
184,Dr. Nikki Hembrom,KATORIA (ST),BJP,0,1 Crore+,1 Crore+,BIHAR,Doctorate
185,Samar Mukherjee,RATUA,AITC,0,65 Lac+,11 Lac+,WEST BENGAL,12th Pass
186,K. Narayana Rao,PARALAKHEMUNDI,BJP,0,26 Lac+,1 Lac+,ODISHA,Post Graduate
187,Barinder Kumar Goyal,LEHRA,AAP,0,2 Crore+,0,PUNJAB,Graduate Professional
188,Manturam Pakhira,KAKDWIP,AITC,2,67 Lac+,0,WEST BENGAL,10th Pass
189,Amirtharaj .S,SRIVAIKUNTAM,INC,0,69 Crore+,3 Crore+,TAMIL NADU,Post Graduate
190,Sahiram,TUGHLAKABAD,AAP,2,1 Crore+,0,DELHI,10th Pass
191,Meghshyam,GOVERDHAN,BJP,0,0,0,UTTAR PRADESH,Graduate Professional
192,Amman K.Arjunan,COIMBATORE NORTH,AIADMK,0,12 Crore+,1 Crore+,TAMIL NADU,10th Pass
193,Balbir Singh,ISRANA (SC),INC,0,40 Lac+,0,HARYANA,12th Pass
194,Dr. Rajesh Sonkar,SONKATCH (SC),BJP,4,2 Crore+,80 Lac+,MADHYA PRADESH,Doctorate
195,Dr. Ramanand Yadav,FATUHA,RJD,4,0,0,BIHAR,Doctorate
196,Makaranda Muduli,RAYAGADA,IND,0,15 Thou+,0,ODISHA,Post Graduate
197,Jarnail Singh,TILAK NAGAR,AAP,2,2 Crore+,46 Lac+,DELHI,12th Pass
198,Jafikul Islam,DOMKAL,AITC,0,4 Crore+,60 Lac+,WEST BENGAL,Post Graduate
199,Karma Loday Bhutia,KABI LUNGCHUK,Sikkim Krantikari Morcha,0,8 Crore+,3 Lac+,SIKKIM,Graduate
200,Usha Rani Mondal,MINAKHAN (SC),AITC,0,1 Crore+,32 Lac+,WEST BENGAL,8th Pass
201,Abdul Soumik Hossain,RANINAGAR,AITC,2,10 Crore+,1 Crore+,WEST BENGAL,12th Pass
202,K.V.Usha,KALYANDURG,YSRCP,1,12 Crore+,1 Crore+,ANDHRA PRADESH,Post Graduate
203,Abu Asim Azmi,MANKHURD SHIVAJINAGAR,SP,12,0,9 Crore+,MAHARASHTRA,Graduate
204,Vinay Bihari,LAURIYA,BJP,6,0,9 Hund+,BIHAR,Graduate
205,Aroop Biswas,TOLLYGANJ,AITC,0,1 Crore+,0,WEST BENGAL,Graduate
206,Sukumar Mahata,SANDESHKHALI (ST),AITC,1,12 Lac+,0,WEST BENGAL,Post Graduate
207,Nasar S M,AVADI,DMK,29,11 Crore+,0,TAMIL NADU,10th Pass
208,Mewa Lal Choudhary,TARAPUR,JD(U),1,0,30 Thou+,BIHAR,Doctorate
209,Vikash Choudhary,KISHANGARH,INC,1,1 Crore+,37 Lac+,RAJASTHAN,Doctorate
210,Abhimanyu,SANGARIA,INC,5,1 Lac+,0,RAJASTHAN,Post Graduate
211,Jayanta Malla Baruah,NALBARI,BJP,0,4 Crore+,17 Lac+,ASSAM,Graduate
212,Manisha,RATH (SC),BJP,3,22 Lac+,0,UTTAR PRADESH,Post Graduate
213,Kewal Singh,SHAHPUR,INC,0,3 Crore+,10 Lac+,HIMACHAL PRADESH,Post Graduate
214,Krishan Pal Malik,BARAUT,BJP,0,12 Crore+,3 Crore+,UTTAR PRADESH,10th Pass
215,Jadeja Pradhyumansinh Mahipatsinh,ABDASA,BJP,0,1 Crore+,15 Lac+,GUJARAT,Literate
216,Sandeep Singh,PEHOWA,BJP,0,2 Crore+,30 Lac+,HARYANA,Graduate
217,Adv. G. R. Anil,NEDUMANGAD,CPI,3,1 Crore+,11 Lac+,KERALA,Graduate Professional
218,Lalan Kumar,PIRPAINTI (SC),BJP,0,16 Lac+,0,BIHAR,Graduate
219,Vipin Kumar David,ETAH,BJP,0,13 Crore+,1 Crore+,UTTAR PRADESH,Graduate
220,Maragatham. K,MADURANTAKAM (SC),AIADMK,0,3 Crore+,99 Lac+,TAMIL NADU,Post Graduate
221,Ponnusamy K,SENTHAMANGALAM(ST),DMK,0,76 Lac+,46 Thou+,TAMIL NADU,8th Pass
222,Leela Ram,KAITHAL,BJP,0,4 Crore+,59 Lac+,HARYANA,Post Graduate
223,V Sunill Kumar,KARKALA,BJP,1,7 Crore+,48 Lac+,KARNATAKA,Graduate
224,Khwairakpam Raghumani Singh,URIPOK,BJP,0,2 Crore+,0,MANIPUR,Graduate Professional
225,Mukesh Verma,SHIKOHABAD,SP,0,3 Crore+,10 Lac+,UTTAR PRADESH,Post Graduate
226,R.Mani,OMALUR,AIADMK,1,4 Crore+,2 Crore+,TAMIL NADU,Graduate Professional
227,Govardhan Mangilal Sharma Alias Lalaji,AAKOLA WEST,BJP,1,5 Crore+,1 Crore+,MAHARASHTRA,Graduate
228,Sita Murmu,JAMA (ST),JMM,3,4 Crore+,0,JHARKHAND,12th Pass
229,Vijay Namdeorao Wadettiwar,BRAMHAPURI,INC,0,44 Crore+,22 Crore+,MAHARASHTRA,10th Pass
230,"Radhakrishnan,K.",UDUMALAIPETTAI,AIADMK,1,0,1 Lac+,TAMIL NADU,Graduate
231,Kento Rina,NARI-KOYU,BJP,0,2 Crore+,0,ARUNACHAL PRADESH,Graduate Professional
232,Krishna Byregowda,BYATARAYANAPURA,INC,2,16 Crore+,95 Lac+,KARNATAKA,Post Graduate
233,Umadevi Lalchand Khatik,HATTA (SC),BJP,0,3 Crore+,5 Lac+,MADHYA PRADESH,12th Pass
234,"Ganesh, R.",UDHAGAMANDALAM,INC,1,2 Crore+,15 Lac+,TAMIL NADU,Post Graduate
235,Saud Alam,THAKURGANJ,RJD,0,63 Lac+,0,BIHAR,Graduate
236,Anupma Jaiswal,BAHRAICH,BJP,0,5 Crore+,1 Lac+,UTTAR PRADESH,Post Graduate
237,Narendra Singh Tomar,DIMANI,BJP,1,2 Crore+,24 Lac+,MADHYA PRADESH,Graduate
238,Namita Akshay Mundada,KAIJ (SC),BJP,0,29 Crore+,5 Crore+,MAHARASHTRA,Graduate Professional
239,Ajay Singh,DEGANA,BJP,0,12 Crore+,2 Lac+,RAJASTHAN,Post Graduate
240,Manoj Tiwary,SHIBPUR,AITC,0,20 Crore+,13 Lac+,WEST BENGAL,8th Pass
241,Dr Y Bharath Shetty,MANGALORE CITY NORTH,BJP,0,11 Crore+,96 Lac+,KARNATAKA,Post Graduate
242,Devendra Kumar Jain,SHIVPURI,BJP,0,27 Crore+,6 Crore+,MADHYA PRADESH,Graduate
243,Kunvarjibhai Narsinhbhai Halpati,MANDVI (ST),BJP,0,1 Crore+,27 Lac+,GUJARAT,Graduate Professional
244,Neel Ratan Singh,SEVAPURI,BJP,2,1 Crore+,0,UTTAR PRADESH,12th Pass
245,Mankal Vaidya,BHATKAL,INC,1,64 Crore+,36 Crore+,KARNATAKA,8th Pass
246,Tushar Govindrao Rathod,MUKHED,BJP,0,4 Crore+,49 Lac+,MAHARASHTRA,Graduate Professional
247,Ritu Khanduri Bhushan,KOTDWAR,BJP,0,7 Crore+,0,UTTARAKHAND,Graduate
248,Dharmjeet Singh,TAKHATPUR,BJP,0,2 Crore+,0,CHHATTISGARH,Graduate
249,Hemanga Thakuria,PALASBARI,BJP,0,5 Lac+,32 Lac+,ASSAM,Post Graduate
